iter	Logloss
0	0.302378226911	0.234644319722	0.198623914233	0.188225781244	0.184509288955	0.180242559366	0.177772308677	0.176993817
8	0.1747859275
9	0.1743589305
10	0.1738835952
11	0.1734382058
12	0.1732671314
13	0.1732474702
14	0.1732294954
15	0.1729270855
16	0.1725027058
17	0.1724256321
18	0.1724220652
19	0.1723709702
20	0.1723683102
21	0.1718796236
22	0.1718578519223	0.1718220929224	0.1717754332225	0.1716486711226	0.17156961
27	0.1705422516
28	0.1704257296
29	0.170399065
30	0.1703014421
31	0.1697528855
32	0.1693751473
33	0.1692242533
34	0.1687650325
35	0.1683643324
36	0.1683114647
37	0.1682946756
38	0.1681564963
39	0.1681512281
40	0.1679749069
41	0.1672251823
42	0.166821089
43	0.1664777941
44	0.1661735181
45	0.1660963781
46	0.1660387105
47	0.1658791892448	0.1658749893449	0.1655817018550	0.1655239245151	0.1654326185252	0.1653296453	53	0.164957254	054	0.164879755	055	0.164820256	056	0.164596657	057	0.164563758	058	0.164556159	059	0.164544260	060	0.164330761	061	0.164241162	062	0.16414163	0.63	0.1639664	0.164	0.1638565	0.665	0.1637166	0.666	0.1636967	0.67	0.16364368	0.68	0.1635769	0.169	0.1635570	0.170	0.1635471	0.771	0.1635472	07272	0.1628573	07373	0.1627674	07474	0.1624775	07775	0.1623676	07776	0.1623177	77777	0.162078	07878	0.1619379	07979	0.1619263686
