iter	Passed	Remaining
0	283	22401
1	486	18966
2	733	18820
3	926	17598
4	1175	17630
5	1402	17295
6	1608	16777
7	1827	16445
8	2072	16351
9	2250	15756
10	2417	15164
11	2606	14767
12	2773	14292
13	3005	14168
14	3167	13727
15	3346	13385
16	3671	13605
17	3852	13268
18	4015	12892
19	4214	12643
20	4398	12357
21	4661	12288
22	5039	12488
23	5328	12432
24	5489	12077
25	5687	11812
26	5852	11489
27	6027	11193
28	6299	11077
29	6466	10776
30	6687	10571
31	6884	10327
32	7133	10160
33	7420	10039
34	7766	9985
35	8019	9801
36	8191	9520
37	8368	9249
38	8637	9080
39	8820	8820
40	9009	8570
41	9250	8369
42	9578	8242
43	9881	8084
44	10196	7930
45	10429	7708
46	10771	7562
47	11038	7358
48	11365	7190
49	11675	7005
50	11883	6757
51	12222	6581
52	12548	6392
53	12803	6164
54	13107	5958
55	13467	5771
56	13814	5574
57	14103	5349
58	14312	5094
59	14505	4835
60	14743	4592
61	15044	4367
62	15300	4128
63	15550	3887
64	15865	3661
65	16039	3402
66	16366	3175
67	16628	2934
68	16835	2683
69	16996	2428
70	17256	2187
71	17439	1937
72	17599	1687
73	17831	1445
74	18002	1200
75	18162	955
76	18351	714
77	18530	475
78	18739	237
79	18925	0
