iter	Logloss
0	0.298996592
1	0.2301822452
2	0.1938554555
3	0.182296705
4	0.1775019158
5	0.1734136283
6	0.1699974553
7	0.169509372
8	0.167017248
9	0.1662682431
10	0.1655191942
11	0.1649474522
12	0.1646084908
13	0.1638632843
14	0.1627031418
15	0.162046635
16	0.1615587651
17	0.1606586124
18	0.1602680435
19	0.1598646907
20	0.1591769474
21	0.1578812438
22	0.1572701959
23	0.1568091563
24	0.1565337666
25	0.1560986124
26	0.1554311913
27	0.1545369464
28	0.1543294616
29	0.1539170086
30	0.153333178
31	0.1530779665
32	0.1529108868
33	0.1511087608
34	0.1505542616
35	0.15014507
36	0.1497269933
37	0.1489785896
38	0.1485409809
39	0.1480021176
40	0.147615422
41	0.1468337494
42	0.1466474129
43	0.1463790645
44	0.1461415727
45	0.1456363766
46	0.1453596568
47	0.145259988
48	0.1449455228
49	0.1440369415
50	0.1438451417
51	0.143630576
52	0.1434230019
53	0.1431949765
54	0.1425685749
55	0.1420316066
56	0.141753067
57	0.1412996825
58	0.1411748574
59	0.1409655015
60	0.1407960604
61	0.1404757309
62	0.1402507416
63	0.13992137
64	0.139541526
65	0.1392961798
66	0.1386534968
67	0.1382180175
68	0.1379103764
69	0.1374850097
70	0.1365753354
71	0.1364382969
72	0.1361565496
73	0.1358006502
74	0.1354748098
75	0.1349614332
76	0.1347132558
77	0.134293088
78	0.1340926503
79	0.1334972811
80	0.1331808083
81	0.1328205673
82	0.1325013979
83	0.1317082076
84	0.1313434921
85	0.1312456953
86	0.1307945967
87	0.1306117947
88	0.1303371664
89	0.1301753611
90	0.1297436276
91	0.1292622481
