iter	Passed	Remaining
0	35	7012
1	76	7567
2	121	7958
3	175	8616
4	209	8164
5	240	7769
6	301	8324
7	332	7986
8	378	8029
9	417	7925
10	441	7580
11	482	7563
12	510	7347
13	538	7149
14	584	7208
15	622	7157
16	664	7153
17	712	7203
18	761	7250
19	808	7276
20	847	7221
21	883	7148
22	926	7131
23	943	6920
24	959	6717
25	992	6640
26	1040	6665
27	1079	6631
28	1124	6632
29	1153	6538
30	1177	6417
31	1205	6328
32	1236	6256
33	1284	6269
34	1304	6152
35	1337	6092
36	1375	6060
37	1414	6028
38	1449	5983
39	1484	5938
40	1533	5945
41	1590	5984
42	1646	6010
43	1681	5961
44	1724	5941
45	1742	5833
46	1777	5784
47	1803	5711
48	1840	5671
49	1879	5638
50	1912	5587
51	1956	5567
52	1996	5538
53	2036	5507
54	2070	5459
55	2111	5429
56	2147	5387
57	2185	5350
58	2220	5305
59	2253	5259
60	2305	5254
61	2359	5252
62	2403	5226
63	2462	5233
64	2547	5290
65	2605	5290
66	2658	5277
67	2732	5305
68	2799	5315
69	2846	5287
70	2899	5268
71	2937	5222
72	2972	5171
73	3009	5123
74	3058	5097
75	3097	5054
76	3126	4993
77	3166	4953
78	3185	4879
79	3234	4851
80	3270	4804
81	3304	4754
82	3340	4708
83	3392	4684
84	3439	4653
85	3478	4611
86	3523	4577
87	3589	4568
88	3639	4539
89	3677	4494
90	3706	4439
91	3755	4408
