iter	Logloss
0	0.655099442
1	0.620669696
2	0.5894162055
3	0.56090964
4	0.5348590471
5	0.5110817006
6	0.4891305388
7	0.4690636748
8	0.4505670256
9	0.4334197893
10	0.4176871691
11	0.402992011
12	0.3893485186
13	0.3767800307
14	0.3651970835
15	0.3545172029
16	0.3446046091
17	0.3353332361
18	0.3267210339
19	0.3187937466
20	0.311435588
21	0.3045154014
22	0.298006126
23	0.292054354
24	0.2864421511
25	0.2812930602
26	0.2761961354
27	0.2712865738
28	0.2664818579
29	0.2619824025
30	0.2577563179
31	0.2538925439
32	0.2503264291
33	0.2472430937
34	0.2440100944
35	0.2414300258
36	0.2388067886
37	0.2366150908
38	0.234136406
39	0.230919749
40	0.2276041677
41	0.2247540295
42	0.222015106
43	0.2193404557
44	0.2167814067
45	0.2145182928
46	0.2123404596
47	0.2103815085
48	0.2084745146
49	0.2067097981
