iter	Passed	Remaining
0	8	396
1	11	284
2	15	236
3	20	237
4	31	287
5	40	297
6	47	290
7	50	266
8	55	250
9	60	242
10	65	230
11	69	218
12	74	210
13	78	201
14	83	195
15	86	183
16	89	173
17	96	171
18	102	167
19	109	164
20	112	155
21	115	147
22	121	142
23	128	139
24	134	134
25	143	132
26	149	127
27	158	124
28	164	119
29	176	117
30	186	114
31	196	110
32	206	106
33	214	100
34	227	97
35	235	91
36	247	86
37	254	80
38	265	74
39	274	68
40	285	62
41	291	55
42	304	49
43	317	43
44	327	36
45	335	29
46	341	21
47	348	14
48	355	7
49	365	0
